LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.7129741425808876
Amygdala;DICE;STD;0.06439238842870802
Amygdala;HDRFDST;MEAN;2.324279769608679
Amygdala;HDRFDST;STD;0.44466116604424283
GreyMatter;DICE;MEAN;0.48071460712563907
GreyMatter;DICE;STD;0.018738806816722752
GreyMatter;HDRFDST;MEAN;3.174569530613896
GreyMatter;HDRFDST;STD;0.3494399738121976
Hippocampus;DICE;MEAN;0.7042188166358765
Hippocampus;DICE;STD;0.04257710605481279
Hippocampus;HDRFDST;MEAN;2.488510028559509
Hippocampus;HDRFDST;STD;0.3275940136186099
Thalamus;DICE;MEAN;0.8582788903228484
Thalamus;DICE;STD;0.02275681938147415
Thalamus;HDRFDST;MEAN;2.3193485306737935
Thalamus;HDRFDST;STD;0.3473073469728407
WhiteMatter;DICE;MEAN;0.6991640026116394
WhiteMatter;DICE;STD;0.01714914734766985
WhiteMatter;HDRFDST;MEAN;4.553290250756568
WhiteMatter;HDRFDST;STD;0.2598997736920603
