LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.7282207604661088
Amygdala;DICE;STD;0.061498059640908
Amygdala;HDRFDST;MEAN;2.0829159797129497
Amygdala;HDRFDST;STD;0.511332593774776
GreyMatter;DICE;MEAN;0.6243435279554553
GreyMatter;DICE;STD;0.011018929508989306
GreyMatter;HDRFDST;MEAN;1.4727922061357857
GreyMatter;HDRFDST;STD;0.17573593128807147
Hippocampus;DICE;MEAN;0.7423107375523779
Hippocampus;DICE;STD;0.03887916366259774
Hippocampus;HDRFDST;MEAN;2.177269903474535
Hippocampus;HDRFDST;STD;0.24391754226375265
Thalamus;DICE;MEAN;0.8674600185889773
Thalamus;DICE;STD;0.0176711928223366
Thalamus;HDRFDST;MEAN;2.1408373525136914
Thalamus;HDRFDST;STD;0.3417827234986709
WhiteMatter;DICE;MEAN;0.7967405983062591
WhiteMatter;DICE;STD;0.013909276569522568
WhiteMatter;HDRFDST;MEAN;2.6690881198124883
WhiteMatter;HDRFDST;STD;0.2756240350111661
