LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.7086651101029563
Amygdala;DICE;STD;0.06457847006756078
Amygdala;HDRFDST;MEAN;2.324279769608679
Amygdala;HDRFDST;STD;0.44466116604424283
GreyMatter;DICE;MEAN;0.4652159743000107
GreyMatter;DICE;STD;0.019705167860405597
GreyMatter;HDRFDST;MEAN;3.3439246444341633
GreyMatter;HDRFDST;STD;0.3437556870014732
Hippocampus;DICE;MEAN;0.6999724774014132
Hippocampus;DICE;STD;0.04327523352344071
Hippocampus;HDRFDST;MEAN;2.63976118569359
Hippocampus;HDRFDST;STD;0.3628510472708786
Thalamus;DICE;MEAN;0.8567130166606338
Thalamus;DICE;STD;0.023103209098600794
Thalamus;HDRFDST;MEAN;2.2986120800028735
Thalamus;HDRFDST;STD;0.3411488028190373
WhiteMatter;DICE;MEAN;0.6975017092771237
WhiteMatter;DICE;STD;0.016662646770486785
WhiteMatter;HDRFDST;MEAN;4.629406012591785
WhiteMatter;HDRFDST;STD;0.261915960909251
