LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.7135245055397651
Amygdala;DICE;STD;0.06595393118406688
Amygdala;HDRFDST;MEAN;2.4958823569983237
Amygdala;HDRFDST;STD;0.520164647034468
GreyMatter;DICE;MEAN;0.4624728787895694
GreyMatter;DICE;STD;0.01993965174593103
GreyMatter;HDRFDST;MEAN;4.119237699175324
GreyMatter;HDRFDST;STD;0.36315393112672434
Hippocampus;DICE;MEAN;0.7009676131710066
Hippocampus;DICE;STD;0.04438135553074161
Hippocampus;HDRFDST;MEAN;2.9123138375268502
Hippocampus;HDRFDST;STD;0.34413385731373614
Thalamus;DICE;MEAN;0.8584910432028139
Thalamus;DICE;STD;0.022850204467331464
Thalamus;HDRFDST;MEAN;2.322218877752852
Thalamus;HDRFDST;STD;0.32756599916395684
WhiteMatter;DICE;MEAN;0.7025970382998881
WhiteMatter;DICE;STD;0.01649503294678229
WhiteMatter;HDRFDST;MEAN;6.655302939931451
WhiteMatter;HDRFDST;STD;0.3270210662018254
