LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4659700031721967
Amygdala;DICE;STD;0.09291990265913305
Amygdala;HDRFDST;MEAN;4.229768345362632
Amygdala;HDRFDST;STD;0.7804227985959019
GreyMatter;DICE;MEAN;0.41130860948457393
GreyMatter;DICE;STD;0.007391326509149013
GreyMatter;HDRFDST;MEAN;4.230031819953075
GreyMatter;HDRFDST;STD;0.08264866716694412
Hippocampus;DICE;MEAN;0.5939232397088985
Hippocampus;DICE;STD;0.04528622996415438
Hippocampus;HDRFDST;MEAN;4.869877255858374
Hippocampus;HDRFDST;STD;0.8272215621423977
Thalamus;DICE;MEAN;0.6128476231533345
Thalamus;DICE;STD;0.09265558549708029
Thalamus;HDRFDST;MEAN;6.205060655114646
Thalamus;HDRFDST;STD;1.413231143991739
WhiteMatter;DICE;MEAN;0.648526662901116
WhiteMatter;DICE;STD;0.017485141847796367
WhiteMatter;HDRFDST;MEAN;5.844143234401466
WhiteMatter;HDRFDST;STD;0.21445245580211858
