LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6558926952532056
Amygdala;DICE;STD;0.05429401605676268
Amygdala;HDRFDST;MEAN;2.972524626487052
Amygdala;HDRFDST;STD;0.5139040230704688
GreyMatter;DICE;MEAN;0.5164105156245329
GreyMatter;DICE;STD;0.006796007635310091
GreyMatter;HDRFDST;MEAN;2.6760165863148675
GreyMatter;HDRFDST;STD;0.37274016387790015
Hippocampus;DICE;MEAN;0.6915151937493701
Hippocampus;DICE;STD;0.03904439922458767
Hippocampus;HDRFDST;MEAN;3.1196068290782915
Hippocampus;HDRFDST;STD;0.6841441602236248
Thalamus;DICE;MEAN;0.7799075621216691
Thalamus;DICE;STD;0.05560580381857289
Thalamus;HDRFDST;MEAN;3.455345223426442
Thalamus;HDRFDST;STD;0.8127665021050448
WhiteMatter;DICE;MEAN;0.7101770789931525
WhiteMatter;DICE;STD;0.02111905245774891
WhiteMatter;HDRFDST;MEAN;4.2284445294365085
WhiteMatter;HDRFDST;STD;0.1423266014435383
