LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6738930324372518
Amygdala;DICE;STD;0.05241254580428795
Amygdala;HDRFDST;MEAN;2.73595010111251
Amygdala;HDRFDST;STD;0.560871682492929
GreyMatter;DICE;MEAN;0.6305787042558254
GreyMatter;DICE;STD;0.007388538453565169
GreyMatter;HDRFDST;MEAN;1.4459972868926734
GreyMatter;HDRFDST;STD;0.09535117355873461
Hippocampus;DICE;MEAN;0.7353205180308573
Hippocampus;DICE;STD;0.04234486642322301
Hippocampus;HDRFDST;MEAN;2.5756997108638573
Hippocampus;HDRFDST;STD;0.7521775052843847
Thalamus;DICE;MEAN;0.7989935609897081
Thalamus;DICE;STD;0.05358518970588835
Thalamus;HDRFDST;MEAN;3.52558287149359
Thalamus;HDRFDST;STD;0.9850205156396559
WhiteMatter;DICE;MEAN;0.8038594188277164
WhiteMatter;DICE;STD;0.016963118981982574
WhiteMatter;HDRFDST;MEAN;2.634773544761727
WhiteMatter;HDRFDST;STD;0.2407662098877826
