LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6517837064408871
Amygdala;DICE;STD;0.05522490923845531
Amygdala;HDRFDST;MEAN;2.944324295966674
Amygdala;HDRFDST;STD;0.5752863983967895
GreyMatter;DICE;MEAN;0.5023096984378366
GreyMatter;DICE;STD;0.007032852753622897
GreyMatter;HDRFDST;MEAN;2.9476645115774054
GreyMatter;HDRFDST;STD;0.33357746804473504
Hippocampus;DICE;MEAN;0.6881874162898828
Hippocampus;DICE;STD;0.03769336928691534
Hippocampus;HDRFDST;MEAN;3.213575670001616
Hippocampus;HDRFDST;STD;0.6106811059576555
Thalamus;DICE;MEAN;0.7803368005346486
Thalamus;DICE;STD;0.05389537143874175
Thalamus;HDRFDST;MEAN;3.4463021238567157
Thalamus;HDRFDST;STD;0.7893045490181163
WhiteMatter;DICE;MEAN;0.708999268400547
WhiteMatter;DICE;STD;0.020644956150498328
WhiteMatter;HDRFDST;MEAN;4.2284445294365085
WhiteMatter;HDRFDST;STD;0.1423266014435383
