LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.653755788046974
Amygdala;DICE;STD;0.05785740637215832
Amygdala;HDRFDST;MEAN;3.145859867685065
Amygdala;HDRFDST;STD;0.6352682054758488
GreyMatter;DICE;MEAN;0.506794854047687
GreyMatter;DICE;STD;0.007015646899173195
GreyMatter;HDRFDST;MEAN;3.487397978516384
GreyMatter;HDRFDST;STD;0.37155798933657913
Hippocampus;DICE;MEAN;0.6934264834938803
Hippocampus;DICE;STD;0.03758428236026558
Hippocampus;HDRFDST;MEAN;3.481786797356532
Hippocampus;HDRFDST;STD;0.6907681939361021
Thalamus;DICE;MEAN;0.7832491078897222
Thalamus;DICE;STD;0.05396190675645146
Thalamus;HDRFDST;MEAN;3.5318718053496725
Thalamus;HDRFDST;STD;0.7911267601187848
WhiteMatter;DICE;MEAN;0.7146890086134966
WhiteMatter;DICE;STD;0.020258043847114555
WhiteMatter;HDRFDST;MEAN;6.048081217656176
WhiteMatter;HDRFDST;STD;0.1439221478251253
