LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5536373730852372
Amygdala;DICE;STD;0.05105020474040669
Amygdala;HDRFDST;MEAN;12.41715894929963
Amygdala;HDRFDST;STD;1.1463697605171344
GreyMatter;DICE;MEAN;0.7287997631330972
GreyMatter;DICE;STD;0.008343614917893523
GreyMatter;HDRFDST;MEAN;2.1892922226992164
GreyMatter;HDRFDST;STD;0.3271078776622815
Hippocampus;DICE;MEAN;0.5598579802456303
Hippocampus;DICE;STD;0.018929353154174048
Hippocampus;HDRFDST;MEAN;13.268066537756132
Hippocampus;HDRFDST;STD;1.028790722001334
Thalamus;DICE;MEAN;0.7552246755120301
Thalamus;DICE;STD;0.029200355044755245
Thalamus;HDRFDST;MEAN;14.861450614585845
Thalamus;HDRFDST;STD;1.0664359475495968
WhiteMatter;DICE;MEAN;0.8235973325738073
WhiteMatter;DICE;STD;0.019186759442991735
WhiteMatter;HDRFDST;MEAN;2.7912330482697323
WhiteMatter;HDRFDST;STD;0.3301788458500274
