LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5483574106676838
Amygdala;DICE;STD;0.048271826254989596
Amygdala;HDRFDST;MEAN;12.347178059699456
Amygdala;HDRFDST;STD;1.4308018598241905
GreyMatter;DICE;MEAN;0.7256831376326971
GreyMatter;DICE;STD;0.008040413014342747
GreyMatter;HDRFDST;MEAN;2.0921625697782753
GreyMatter;HDRFDST;STD;0.1511812872638722
Hippocampus;DICE;MEAN;0.5517501663910191
Hippocampus;DICE;STD;0.0208719077229177
Hippocampus;HDRFDST;MEAN;13.184782626082239
Hippocampus;HDRFDST;STD;0.9805646857601791
Thalamus;DICE;MEAN;0.7560416864127089
Thalamus;DICE;STD;0.028896024351609123
Thalamus;HDRFDST;MEAN;14.327033521194954
Thalamus;HDRFDST;STD;1.317615453216964
WhiteMatter;DICE;MEAN;0.8254652654662762
WhiteMatter;DICE;STD;0.019140171617211193
WhiteMatter;HDRFDST;MEAN;2.6406907072021326
WhiteMatter;HDRFDST;STD;0.35602329824928575
