LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4959533944496509
Amygdala;DICE;STD;0.04127193742154563
Amygdala;HDRFDST;MEAN;11.4055034475622
Amygdala;HDRFDST;STD;1.3836513678115452
GreyMatter;DICE;MEAN;0.7232610900800704
GreyMatter;DICE;STD;0.008322459372389932
GreyMatter;HDRFDST;MEAN;1.8446827449687742
GreyMatter;HDRFDST;STD;0.31168184165021295
Hippocampus;DICE;MEAN;0.5767552738518784
Hippocampus;DICE;STD;0.024220192298030387
Hippocampus;HDRFDST;MEAN;13.180426085707001
Hippocampus;HDRFDST;STD;0.6134885485601447
Thalamus;DICE;MEAN;0.7122627027024493
Thalamus;DICE;STD;0.0733689907438546
Thalamus;HDRFDST;MEAN;23.601455361723943
Thalamus;HDRFDST;STD;8.970579959431399
WhiteMatter;DICE;MEAN;0.8294183644231324
WhiteMatter;DICE;STD;0.01711285892229288
WhiteMatter;HDRFDST;MEAN;3.373004615970403
WhiteMatter;HDRFDST;STD;0.35048517891967096
